OBJECTID,Closed Roll Year,Property Location,Parcel Number,Block,Lot,Volume Number,Use Code,Use Definition,Property Class Code,Property Class Code Definition,Year Property Built,Number of Bathrooms,Number of Bedrooms,Number of Rooms,Number of Stories,Number of Units,Zoning Code,Construction Type,Lot Depth,Lot Frontage,Property Area,Basement Area,Lot Area,Lot Code,Tax Rate Area Code,Percent of Ownership,Exemption Code,Exemption Code Definition,Status Code,Misc Exemption Value,Homeowner Exemption Value,Current Sales Date,Assessed Fixtures Value,Assessed Improvement Value,Assessed Land Value,Assessed Personal Property Value,Assessor Neighborhood District,Assessor Neighborhood Code,Assessor Neighborhood,Supervisor District,Supervisor District 2012,Analysis Neighborhood,the_geom,Row ID,data_as_of,data_loaded_at,date_dat_2,time_dat_2,POINT_X,POINT_Y
5,2017,0052 0050 GRENARD             TE0000,0502009,0502,009,4,MRES,Multi-Family Residential,F,Flats & Duplex,2012,6,6,15,3,2,RH3,D,0,0,5551,1000,2818,NA,1000,1,NA,,NA,0,0,2000-09-26 0:00:00,00:00:00.000,0,2245392,1152933,0,8.0,8E,Russian Hill,3,2,Russian Hill,20170502009,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4234399,37.80120177
104,2017,0000 0421 ARGUELLO            BL0000,1433003,1433,003,10,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,15,21,45,4,8,RM2,NA,20,0,14562,0,6000,R,1000,1,NA,,NA,0,0,2006-07-10 0:00:00,00:00:00.000,0,2775754,2870156,0,1.0,1B,Inner Richmond,1,1,Inner Richmond,20171433003,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4593601,37.78272341
121,2017,0000 1150 OCEAN               AV0000,3180006,3180,006,22,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2012,0,0,0,6,173,NC2,NA,0,0,160983,0,80150,O,1000,1,NA,,NA,0,0,,,0,63136726,3580947,723342,4.0,4S,Sunnyside,7,7,West of Twin Peaks,20173180006,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4550406,37.72398661
124,2017,0000 0248 OCEAN               AV0000,3211009,3211,009,22,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,9,12,21,4,5,NC1,D,0,0,12058,3112,4277,NA,1000,0.5,11,Home Owners,NA,0,7000,2007-07-26 0:00:00,00:00:00.000,0,1979620,613980,0,10.0,10H,Mission Terrace,11,11,Outer Mission,20173211009,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4420903,37.72342836
196,2017,0000 0019 TEHAMA              ST0000,3736079,3736,079,25,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,5,0,13,4,5,C3OSD,NA,75,0,6491,0,1875,R,1016,1,NA,,NA,0,0,2006-06-06 0:00:00,00:00:00.000,0,2058068,706493,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20173736079,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3959177,37.78753306
197,2017,0178 0166 TOWNSEND            ST0000,3788012,3788,012,25,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2012,0,0,0,6,95,SLI,NA,75,0,70000,0,22000,R,1000,1,3,Welfare,NA,11152344,0,2005-08-10 0:00:00,00:00:00.000,0,43078252,12095863,7186,9.0,9H,South Beach,6,6,Financial District/South Beach,20173788012,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.392511,37.77973454
200,2017,1030 1028 WISCONSIN           ST0000,4219003,4219,003,27,MRES,Multi-Family Residential,F,Flats & Duplex,2012,6,7,14,3,2,RH2,NA,0,0,3430,0,2500,R,1000,0.334,NA,,NA,0,0,2014-12-22 0:00:00,00:00:00.000,0,735241,735241,0,9.0,9E,Potrero Hill,10,10,Potrero Hill,20174219003,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3989623,37.75425949
236,2017,0000 1280 HAMPSHIRE           ST0000,4266013,4266,013,28,MRES,Multi-Family Residential,A,Apartment 4 units or less,2012,7,0,13,4,3,RH3,NA,0,0,5357,1275,2448,NA,1000,1,NA,,NA,0,0,2008-05-13 0:00:00,00:00:00.000,0,1852549,452705,0,9.0,9C,Inner Mission,9,9,Mission,20174266013,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4074589,37.75174906
249,2017,0000 0105 MANCHESTER          ST0000,5544020,5544,020,33,MRES,Multi-Family Residential,DD,2 Dwellings on 1 Parcel 4 units or less,2012,2,2,10,2,2,RH2,NA,75,0,2054,0,2250,R,1000,0.5,NA,,NA,0,0,2008-03-26 0:00:00,00:00:00.000,0,428566,891264,0,9.0,9A,Bernal Heights,9,9,Bernal Heights,20175544020,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4139994,37.74491189
257,2017,0000 4209 24TH                ST0000,6505047,6505,047,39,MRES,Multi-Family Residential,DA,Dwellings - Apt 4 units or less,2012,5,3,11,4,2,RH2,NA,0,0,3631,0,2596,NA,1000,1,11,Home Owners,NA,0,7000,2008-12-18 0:00:00,00:00:00.000,0,2071113,832184,0,5.0,5C,Noe Valley,8,8,Noe Valley,20176505047,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4367266,37.75089075
615,2018,0000 0019 TEHAMA              ST0000,3736184,3736,184,25,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,1,0,0,1,0,NA,NA,0,0,952,0,0,NA,1016,1,NA,,NA,0,0,,,0,0,0,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20183736184,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3959177,37.78753306
616,2018,0000 0019 TEHAMA #1           ST0000,3736185,3736,185,25,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,1,1,3,1,0,NA,NA,0,0,931,0,0,NA,1016,1,NA,,NA,0,0,,,0,0,0,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20183736185,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3959177,37.78753306
617,2018,0000 0019 TEHAMA #2           ST0000,3736186,3736,186,25,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,1,1,3,1,0,NA,NA,0,0,952,0,0,NA,1016,1,NA,,NA,0,0,,,0,0,0,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20183736186,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3959177,37.78753306
618,2018,0000 0019 TEHAMA #3           ST0000,3736187,3736,187,25,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,1,1,3,1,0,NA,NA,0,0,956,0,0,NA,1016,1,NA,,NA,0,0,,,0,0,0,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20183736187,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3959177,37.78753306
619,2018,0000 0019 TEHAMA #4           ST0000,3736188,3736,188,25,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2012,2,2,5,2,0,NA,NA,0,0,1344,0,0,NA,1016,1,NA,,NA,0,0,,,0,0,0,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20183736188,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3959177,37.78753306
623,2013,0000 0019 WILMOT              ST0000,0660071,0660,071,5,MRES,Multi-Family Residential,F,Flats & Duplex,2012,4,4,9,2,2,RH2,D,80,0,5137,0,2000,R,1000,0.5,NA,,NA,0,0,,,0,1927000,713127,0,6.0,6C,Lower Pacific Heights,5,5,Pacific Heights,20130660071,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4323202,37.78750518
625,2013,0000 1864 08TH                AV0000,2044003A,2044,003A,15,MRES,Multi-Family Residential,F,Flats & Duplex,2012,10,8,16,3,2,RH2,NA,0,0,4094,780,2095,NA,1000,0.16666,NA,,NA,0,0,1999-11-09 0:00:00,00:00:00.000,0,1079882,381369,0,2.0,2F,Inner Sunset,7,7,Inner Sunset,20132044003A,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4643192,37.75363343
626,2013,0000 1266ADOLORES             ST0000,6551056,6551,056,39,MRES,Multi-Family Residential,A,Apartment 4 units or less,2012,7,0,0,3,3,NA,NA,0,0,6195,0,0,NA,1000,1,NA,,NA,0,0,,,0,1960000,840000,0,5.0,5C,Noe Valley,8,8,Noe Valley,20136551056,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4252792,37.74915338
634,2017,0000 2626 LARKIN              ST0000,0069011,0069,011,1,MRES,Multi-Family Residential,F,Flats & Duplex,2013,0,0,0,5,2,RH3,D,0,0,10824,2420,3149,NA,1000,1,NA,,NA,0,0,2011-09-19 0:00:00,00:00:00.000,0,9714228,3291013,0,8.0,8E,Russian Hill,3,2,Russian Hill,20170069011,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4210514,37.80223792
648,2017,2139 2135 GREENWICH           ST0000,0516071,0516,071,4,MRES,Multi-Family Residential,F,Flats & Duplex,2013,5,5,10,3,2,RH3,D,65,0,5146,0,1625,R,1000,0.5,NA,,NA,0,0,2013-05-17 0:00:00,00:00:00.000,0,2448442,3493519,0,7.0,7D,Cow Hollow,2,2,Marina,20170516071,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4348183,37.79890049
649,2017,0138 0136 PIXLEY              ST0000,0516072,0516,072,4,MRES,Multi-Family Residential,F,Flats & Duplex,2013,5,5,11,3,2,RH3,D,55,0,3737,0,1375,R,1000,0.5,NA,,NA,0,0,2013-07-15 0:00:00,00:00:00.000,0,1436492,2154736,0,7.0,7D,Cow Hollow,2,2,Marina,20170516072,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4347854,37.79873792
650,2017,3020 3020 LAGUNA              ST0000,0519029,0519,029,4,MRES,Multi-Family Residential,F,Flats & Duplex,2013,5,5,10,3,2,RH2,D,62.5,0,4166,570,1673.75,NA,1000,1,NA,,NA,0,0,2013-09-30 0:00:00,00:00:00.000,0,1394243,3253234,0,7.0,7D,Cow Hollow,2,2,Marina,20170519029,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4306277,37.79919137
651,2017,0000 1946 POLK                ST0000,0596024,0596,024,5,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2013,0,0,0,5,44,POLK,NA,0,0,77043,0,17428,NA,1000,1,NA,,NA,0,0,2011-08-04 0:00:00,00:00:00.000,2887899,29539372,2164521,41484,8.0,8C,Nob Hill,3,3,Russian Hill,20170596024,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4211754,37.79480379
652,2017,0000 1285 SUTTER              ST0000A,0691021,0691,021,5,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2013,0,0,0,13,107,RC4,NA,0,0,106602,0,0,NA,1000,1,NA,,NA,0,0,2015-03-06 0:00:00,00:00:00.000,0,78623477,19655869,0,8.0,8F,Van Ness/ Civic Center,3,3,Nob Hill,20170691021,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4211896,37.78735372
656,2017,0547 0543 GROVE               ST0000,0807022,0807,022,6,MRES,Multi-Family Residential,A,Apartment 4 units or less,2013,11,9,24,4,4,RM1,D,0,0,6386,0,2996,NA,1000,1,NA,,NA,0,0,2004-05-26 0:00:00,00:00:00.000,0,2958704,632127,0,6.0,6B,Hayes Valley,5,5,Hayes Valley,20170807022,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4255376,37.77725058
692,2017,0643 0641 27TH                AV0000,1570003C,1570,003C,11,MRES,Multi-Family Residential,F,Flats & Duplex,2013,7,6,15,3,2,RH2,NA,0,0,3521,635,2796,NA,1000,1,NA,,NA,0,0,2011-07-12 0:00:00,00:00:00.000,0,928438,351733,0,1.0,1A,Central Richmond,1,1,Outer Richmond,20171570003C,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4870051,37.77724625
693,2017,0000 0226 CABRILLO            ST0000,1641026,1641,026,12,MRES,Multi-Family Residential,F,Flats & Duplex,2013,4,5,11,3,2,RH2,NA,10,0,2783,555,2750,R,1000,1,NA,,NA,0,0,2015-06-03 0:00:00,00:00:00.000,0,761132,1775976,0,1.0,1B,Inner Richmond,1,1,Inner Richmond,20171641026,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.46126,37.77574928
697,2017,0000 0680 DOUGLASS            ST0000,2802006,2802,006,19,MRES,Multi-Family Residential,DD,2 Dwellings on 1 Parcel 4 units or less,2013,5,5,14,4,2,RH2,NA,0,0,3600,0,2495,NA,1000,1,NA,,NA,0,0,2013-05-03 0:00:00,00:00:00.000,0,1618085,2122080,0,5.0,5C,Noe Valley,8,8,Noe Valley,20172802006,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4389354,37.75294191
700,2017,0000 1880 MISSION             ST0000,3547053,3547,053,23,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2013,0,0,0,0,0,NCT1,D,0,0,225851,0,51885.9,O,1000,1,NA,,NA,0,0,2013-07-19 0:00:00,00:00:00.000,0,88105610,25603387,0,9.0,9C,Inner Mission,9,9,Mission,20173547053,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4204924,37.76696963
746,2017,0000 3500 19TH                ST0207,3588133,3588,133,24,MRES,Multi-Family Residential,A,Apartment 4 units or less,2013,0,0,0,0,0,NA,NA,0,0,1575,0,0,NA,1000,1,11,Home Owners,NA,0,5600,2015-12-30 0:00:00,00:00:00.000,0,882300,882300,0,5.0,5M,Mission Dolores,9,8,Mission,20173588133,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4217619,37.7603068
757,2017,0000 1190 MISSION             ST0000,3702391,3702,391,25,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2013,0,0,0,22,419,C3G,B,3.5,0,213553,0,19832,R,1000,1,NA,,NA,0,0,,,0,144045700,43389754,10000,9.0,9F,South of Market,6,6,South of Market,20173702391,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4130136,37.77792571
772,2017,0000 0038 HARRIET             ST0000,3731243,3731,243,25,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2013,23,0,0,3,23,RED,NA,75,0,11775,0,3750,R,1008,1,18,Lessor,NA,7921840,0,2013-07-31 0:00:00,00:00:00.000,0,3168736,4753104,0,9.0,9F,South of Market,6,6,South of Market,20173731243,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4071268,37.77863127
773,2017,0000 0025 ESSEX               ST0000,3749503,3749,503,25,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2013,0,0,0,8,123,NA,B,0,0,74750,0,17191,NA,1016,1,NA,,N,0,0,,,0,0,0,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20173749503,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3951817,37.78639396
778,2017,0000 0333 HARRISON            ST0000,3766262,3766,262,25,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2013,0,0,326,7,326,M1,B,0,0,194850,0,61545,O,1000,1,NA,,NA,0,0,,,0,93180595,12120895,0,9.0,9H,South Beach,6,6,Financial District/South Beach,20173766262,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.391262,37.78646572
859,2017,0000 1075 LE CONTE            AV0000,5476009,5476,009,32,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2013,0,0,0,5,73,RH1,D,0,0,45918,0,26234,O,1018,1,3,Welfare,NA,7531718,0,2009-03-26 0:00:00,00:00:00.000,0,4186655,3345063,0,10.0,10K,Bayview Heights,10,10,Bayview Hunters Point,20175476009,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3980673,37.71878722
860,2017,1875 1865 BAYSHORE            BL0000,5476024,5476,024,32,MRES,Multi-Family Residential,A5,Apartment 5 to 14 Units,2013,0,21,18,4,7,RM1,NA,0,0,13785,0,5570,NA,1018,1,NA,,NA,0,0,,,0,1546342,842711,8513,10.0,10K,Bayview Heights,10,10,Bayview Hunters Point,20175476024,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3984643,37.71867971
863,2017,2352 2350-SAN BRUNO           AV0000,5880023,5880,023,35,MRES,Multi-Family Residential,F,Flats & Duplex,2013,3,0,11,2,2,RM1,NA,44.47,0,2555,497,1750,NA,1000,1,NA,,NA,0,0,2014-01-09 0:00:00,00:00:00.000,0,332715,776339,0,10.0,10C,Excelsior,9,9,Portola,20175880023,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4061978,37.73311781
876,2013,1270 1268 LOMBARD             ST0000,0500015,0500,015,4,MRES,Multi-Family Residential,F,Flats & Duplex,2013,0,0,0,4,4,RH3,D,0,0,13230,2015,4726,NA,1000,1,NA,,NA,0,0,2007-11-01 0:00:00,00:00:00.000,0,2168000,966929,0,8.0,8E,Russian Hill,3,2,Russian Hill,20130500015,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4224227,37.80188416
877,2013,0000 1461 PINE                ST0000,0668013,0668,013,5,MRES,Multi-Family Residential,A,Apartment 4 units or less,2013,0,0,0,4,24,POLK,NA,20,0,31028,0,6000,NA,1000,1,NA,,NA,0,0,2008-02-08 0:00:00,00:00:00.000,0,3131000,1706661,0,8.0,8A,Downtown,3,3,Nob Hill,20130668013,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4196846,37.78946633
880,2015,0000 0960 HARRISON            ST0000,3753021,3753,021,25,MRES,Multi-Family Residential,A,Apartment 4 units or less,2013,8,8,20,4,4,RSD,NA,80,0,6122,0,2000,R,1008,1,NA,,NA,0,0,2013-05-13 0:00:00,00:00:00.000,0,120286,481160,0,9.0,9F,South of Market,6,6,South of Market,20153753021,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4034032,37.77811936
883,2022,0000 2652 HARRISON            ST0000,3639002,3639,002,24,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2013,0,0,0,4,20,CM,D,0,0,17219,0,8372,NA,1000,0.5,NA,,NA,0,0,2006-03-20 0:00:00,00:00:00.000,0,14393557,2075092,0,9.0,9C,Inner Mission,9,9,Mission,20223639002,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4124787,37.75511121
924,2017,0000 0121 GOLDEN GATE         AV0000,0349022,0349,022,3,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,90,0,0,10,90,RC4,B,0,0,48814,0,8675.17,O,1000,1,3,Welfare,NA,29947424,0,2012-08-23 0:00:00,00:00:00.000,0,27095563,2851861,0,8.0,8F,Van Ness/ Civic Center,5,6,Tenderloin,20170349022,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4125129,37.78174882
955,2017,2921 2919 LAGUNA              ST0000,0531004,0531,004,4,MRES,Multi-Family Residential,F,Flats & Duplex,2014,4,3,8,2,2,RH2,D,0,0,4370,0,2404,NA,1000,1,NA,,NA,0,0,2010-06-25 0:00:00,00:00:00.000,0,2350554,1890770,0,7.0,7D,Cow Hollow,2,2,Marina,20170531004,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4309429,37.79825955
1238,2017,0000 1844 MARKET              ST0000,0871016,0871,016,6,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,0,0,0,7,113,NC3,D,0,0,140380,0,23078,O,1000,1,NA,,NA,0,0,2007-03-30 0:00:00,00:00:00.000,0,16489442,10922340,0,6.0,6B,Hayes Valley,8,8,Hayes Valley,20170871016,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4243765,37.77158552
1357,2017,0760 0758 SPRUCE              ST0000,1088022,1088,022,8,MRES,Multi-Family Residential,F,Flats & Duplex,2014,8,6,16,4,2,RH3,NA,0,0,5220,0,2996,NA,1000,0.5,NA,,NA,0,0,2012-06-27 0:00:00,00:00:00.000,0,1519744,650002,0,1.0,1G,Lone Mountain,2,1,Lone Mountain/USF,20171088022,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4526989,37.78095103
1358,2017,0000 1816 EDDY                ST0000,1127064,1127,064,8,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,0,0,0,6,19,RM3,NA,0,0,15168,0,6035,NA,1007,1,NA,,NA,0,0,,,0,10075949,3116054,0,6.0,6D,Western Addition,5,5,Western Addition,20171127064,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4376915,37.78096768
1371,2017,0622 0620 27TH                AV0000,1569031,1569,031,11,MRES,Multi-Family Residential,F,Flats & Duplex,2014,6,6,13,3,2,RH2,NA,0,0,4201,610,2996,NA,1000,1,11,Home Owners,NA,0,7000,2010-03-09 0:00:00,00:00:00.000,0,998087,709593,0,1.0,1A,Central Richmond,1,1,Outer Richmond,20171569031,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4863765,37.77759794
1374,2017,0180 0170-YUKON                 0000,2716056,2716,056,19,MRES,Multi-Family Residential,DD,2 Dwellings on 1 Parcel 4 units or less,2014,4,0,12,3,2,RH2,NA,0,0,3525,0,4146,NA,1000,0.5,NA,,NA,0,0,,,0,1056244,20060,0,5.0,5K,Eureka Valley/Dolores Heights,8,8,Castro/Upper Market,20172716056,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4424328,37.75712118
1375,2017,0000 0311 EUREKA              ST0000,2750035,2750,035,19,MRES,Multi-Family Residential,F,Flats & Duplex,2014,5,6,14,4,2,RH2,D,0,0,3687,0,3123,NA,1000,0.25,NA,,NA,0,0,,,0,984410,35610,0,5.0,5K,Eureka Valley/Dolores Heights,8,8,Castro/Upper Market,20172750035,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4376017,37.75712335
1384,2017,0000 0038 DOLORES             ST0000,3535042,3535,042,23,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,0,0,0,8,81,NA,B,0,0,75989,0,0,NA,1000,1,NA,,NA,0,0,,,0,60158508,6080971,9149,5.0,5M,Mission Dolores,8,8,Castro/Upper Market,20173535042,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4271607,37.76830315
1400,2017,0000 1875 MISSION             ST0209,3548141,3548,141,23,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,1,1,5,1,0,NA,NA,0,0,800,0,0,NA,1000,1,NA,,NA,0,0,2015-04-17 0:00:00,00:00:00.000,0,396099,396099,0,9.0,9C,Inner Mission,9,9,Mission,20173548141,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4194461,37.76710138
1404,2017,0000 1875 MISSION             ST0302,3548145,3548,145,23,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,1,1,5,1,0,NA,NA,0,0,777,0,0,NA,1000,1,NA,,NA,0,0,,,0,10033,40471,0,9.0,9C,Inner Mission,9,9,Mission,20173548145,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4194461,37.76710138
1410,2017,0000 1875 MISSION             ST0308,3548151,3548,151,23,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,1,0,3,1,0,NA,NA,0,0,623,0,0,NA,1000,1,NA,,NA,0,0,2015-05-14 0:00:00,00:00:00.000,0,349498,349498,0,9.0,9C,Inner Mission,9,9,Mission,20173548151,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4194461,37.76710138
1414,2017,0000 1875 MISSION             ST0312,3548155,3548,155,23,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,1,2,6,1,0,NA,NA,0,0,805,0,0,NA,1000,1,NA,,NA,0,0,2015-04-24 0:00:00,00:00:00.000,0,471176,471176,0,9.0,9C,Inner Mission,9,9,Mission,20173548155,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4194461,37.76710138
1416,2017,0000 1875 MISSION             ST0403,3548157,3548,157,23,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,1,2,6,1,0,NA,NA,0,0,752,0,0,NA,1000,1,NA,,NA,0,0,2015-04-01 0:00:00,00:00:00.000,0,476355,476355,0,9.0,9C,Inner Mission,9,9,Mission,20173548157,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4194461,37.76710138
1419,2017,0000 1875 MISSION             ST0406,3548160,3548,160,23,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,1,2,6,1,0,NA,NA,0,0,631,0,0,NA,1000,1,NA,,NA,0,0,2015-04-14 0:00:00,00:00:00.000,0,362443,362443,0,9.0,9C,Inner Mission,9,9,Mission,20173548160,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4194461,37.76710138
1425,2017,0000 1875 MISSION             ST0412,3548166,3548,166,23,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,1,2,6,1,0,NA,NA,0,0,801,0,0,NA,1000,1,NA,,NA,0,0,2015-04-22 0:00:00,00:00:00.000,0,507421,507421,0,9.0,9C,Inner Mission,9,9,Mission,20173548166,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4194461,37.76710138
1626,2017,0000 0055 09TH                ST0000,3701066,3701,066,25,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,0,0,0,17,275,C3G,NA,0,0,241907,0,35800,NA,1000,1,NA,,NA,0,0,2012-06-01 0:00:00,00:00:00.000,0,150231558,15692790,2469903,9.0,9F,South of Market,6,6,South of Market,20173701066,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4150883,37.77710502
1628,2017,0000 0474 NATOMA              ST0000,3725101,3725,101,25,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,67,0,96,9,60,C3S,NA,0,0,41331,0,11875,NA,1000,1,NA,,NA,0,0,,,0,11712787,333334,0,9.0,9F,South of Market,6,6,South of Market,20173725101,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.4073909,37.78062178
1630,2017,0000 0333 FREMONT             ST0000,3747331,3747,331,25,MRES,Multi-Family Residential,A15,Apartment 15 Units or more,2014,271,105,271,8,83,RC4,B,0,0,73296,0,7520.34,NA,1000,1,NA,,NA,0,0,,,0,40338009,5328877,0,9.0,9B,Financial District South,6,6,Financial District/South Beach,20173747331,2023-10-02 0:00:00,12:14:02.000,2023-10-04 0:00:00,09:38:21.000,-122.3927235,37.78767931
