,the_geom,Geographic_Area_Name,estimatedPercentBelowPovertyLevel
20,"[[37.667343977, -122.428021153], [37.679560979, -122.425303154], [37.672263978, -122.415109152], [37.667744977, -122.425066152], [37.665395978, -122.40517915], [37.680895978, -122.427117154], [37.662762978, -122.41087715], [37.667224977, -122.423133152], [37.668212978, -122.424472153], [37.662513978, -122.41059015]]",Census Tract 6020.02,0.40%
21,"[[37.322874977, -122.014273051], [37.337698978, -122.022241054], [37.322854977, -122.023193052], [37.337724978, -122.017803054], [37.337683977, -122.025071054], [37.336633977, -122.032411056], [37.336494977, -122.032413056], [37.332482977, -122.014214053], [37.331713978, -122.014238052], [37.337698978, -122.022159054]]",Census Tract 5081.01,0.50%
22,"[[37.719640023, -121.853445071], [37.708507022, -121.85051107], [37.727605025, -121.829785068], [37.709566021, -121.866018071], [37.701182023, -121.828679065], [37.717123022, -121.857994071], [37.714627023, -121.85153107], [37.723605025, -121.826312067], [37.717471024, -121.823539066], [37.709761021, -121.867064072]]",Census Tract 4507.51,0.50%
23,"[[37.307951974, -122.044373054], [37.315564975, -122.032413053], [37.310344975, -122.037897053], [37.315594975, -122.036063054], [37.315589974, -122.039558054], [37.309606974, -122.041005054], [37.309135974, -122.042454054], [37.315564974, -122.046633056], [37.315564974, -122.046709056], [37.308994973, -122.042823055]]",Census Tract 5078.07,0.60%
24,"[[37.770217021, -121.935282089], [37.76191902, -121.938802089], [37.777722021, -121.938693091], [37.787080022, -121.950400094], [37.779299021, -121.952160093], [37.76743902, -121.94199909], [37.763881021, -121.939442089], [37.768562021, -121.94326109], [37.767196021, -121.936279089], [37.774019021, -121.93586309]]",Census Tract 3451.17,0.60%
25,"[[37.860738019, -122.077776121], [37.87605702, -122.083755125], [37.878100021, -122.078640123], [37.860863019, -122.078164122], [37.87367102, -122.084276124], [37.87465202, -122.084670125], [37.86204602, -122.074392122], [37.86480002, -122.072100121], [37.87104402, -122.079201123], [37.87692202, -122.082378124]]",Census Tract 3511.04,0.60%
26,"[[37.347518977, -122.050044059], [37.339697975, -122.06258906], [37.352044977, -122.059832062], [37.344064976, -122.050034059], [37.337544975, -122.06024306], [37.346528976, -122.063883062], [37.337540975, -122.06004606], [37.341351975, -122.064224061], [37.337524975, -122.05826606], [37.352054976, -122.059233061]]",Census Tract 5083.01,0.60%
27,"[[37.634188975, -122.413772147], [37.617996974, -122.404185143], [37.637631976, -122.411368147], [37.635263976, -122.404340146], [37.641035976, -122.411766148], [37.639286976, -122.416575148], [37.635542976, -122.409879147], [37.619441974, -122.405241144], [37.639385976, -122.416663148], [37.619098975, -122.405010144]]",Census Tract 6042,0.60%
28,"[[37.489360974, -122.257036107], [37.496711975, -122.250004107], [37.492870975, -122.245328106], [37.491515975, -122.246611106], [37.483951974, -122.256952106], [37.497035976, -122.249550106], [37.496765976, -122.249930107], [37.489677975, -122.247950105], [37.489332974, -122.257448107], [37.488099974, -122.258930107]]",Census Tract 6093,0.60%
29,"[[37.532393971, -122.352900127], [37.547338971, -122.36370013], [37.53062197, -122.356513127], [37.53034597, -122.357628127], [37.547076972, -122.363938129], [37.545462971, -122.36589413], [37.551991974, -122.339496126], [37.536349972, -122.349137127], [37.561809973, -122.350721129], [37.53056397, -122.356713127]]",Census Tract 6057,0.60%
30,"[[37.370444978, -122.060393063], [37.371843978, -122.059392063], [37.376374978, -122.063033065], [37.368551978, -122.061981064], [37.372394978, -122.059043063], [37.374582978, -122.058423063], [37.371354978, -122.066623065], [37.376574978, -122.063573064], [37.378136978, -122.067774066], [37.374886979, -122.059151064]]",Census Tract 5091.10,0.70%
31,"[[37.870007014, -122.156098135], [37.869837014, -122.159655135], [37.892747018, -122.120526132], [37.863376015, -122.124586129], [37.891237017, -122.142160135], [37.880706017, -122.125408132], [37.869473014, -122.152523134], [37.889212016, -122.154008137], [37.881314015, -122.158272136], [37.880769017, -122.121301131]]",Census Tract 3500,0.70%
