,the_geom,Geographic_Area_Name,estimatedPercentBelowPovertyLevel
404,"[[37.735630981, -122.443157163], [37.739525982, -122.442591164], [37.734775982, -122.439621162], [37.73299498, -122.454065165], [37.743261982, -122.449803165], [37.735913982, -122.442146163], [37.733062981, -122.451174164], [37.742330981, -122.454653166], [37.73494298, -122.459409166], [37.732997981, -122.453869165]]",Census Tract 307,3.80%
405,"[[37.690178975, -122.492467165], [37.664372972, -122.495106163], [37.665665973, -122.485288161], [37.665661973, -122.485254161], [37.697865975, -122.494938166], [37.699414975, -122.495448167], [37.697836974, -122.504485168], [37.665611972, -122.500160164], [37.662326972, -122.491777162], [37.665068972, -122.495260163]]",Census Tract 6010,3.80%
406,,Census Tract 4511.04,3.80%
407,"[[37.879803017, -122.126361132], [37.867159016, -122.12495613], [37.880451018, -122.102330128], [37.866443015, -122.12452913], [37.872665019, -122.093046126], [37.881438019, -122.104466128], [37.867817019, -122.086755124], [37.874247016, -122.126186131], [37.877142019, -122.094856127], [37.868314019, -122.087318124]]",Census Tract 3512,3.80%
408,"[[37.772467006, -122.154149123], [37.746889006, -122.121085115], [37.771603005, -122.155864123], [37.772359005, -122.155837124], [37.754064006, -122.127049117], [37.763428007, -122.125206118], [37.757923006, -122.138168119], [37.766158007, -122.126598118], [37.752928006, -122.126307116], [37.767731008, -122.127516118]]",Census Tract 4099,3.80%
409,"[[37.889592005, -122.30602616], [37.887852004, -122.30926116], [37.893758005, -122.307231161], [37.887555004, -122.30340016], [37.887730005, -122.300693159], [37.895839006, -122.30178816], [37.890201005, -122.299044159], [37.887194005, -122.307200159], [37.890246004, -122.30625116], [37.887639005, -122.30896616]]",Census Tract 4203.02,3.80%
410,"[[37.286560982, -121.896908029], [37.284318981, -121.90321403], [37.285022981, -121.90123503], [37.286133982, -121.89812503], [37.288672982, -121.890990029], [37.276659981, -121.897591028], [37.288654983, -121.881907027], [37.280446983, -121.888925027], [37.291487984, -121.883084028], [37.276741981, -121.897412028]]",Census Tract 5030.01,3.80%
411,"[[38.100591029, -122.226838172], [38.100569028, -122.226755173], [38.099836028, -122.224510172], [38.101780029, -122.217905171], [38.108916029, -122.217688172], [38.10964403, -122.218930173], [38.109613029, -122.226521174], [38.103521029, -122.217885171], [38.105876029, -122.229592173], [38.109655029, -122.225628173]]",Census Tract 2503,3.80%
412,"[[38.347444073, -121.909409153], [38.347487073, -121.904924152], [38.453234078, -121.955010172], [38.35131607, -121.934041157], [38.420247078, -121.915605163], [38.415708079, -121.895317159], [38.409861073, -121.97088917], [38.413390073, -121.970845171], [38.453283079, -121.94099917], [38.346530073, -121.901360152]]",Census Tract 2529.04,3.80%
413,"[[37.782100986, -122.441525168], [37.776021985, -122.444793168], [37.779376985, -122.441132168], [37.782465986, -122.446788169], [37.782516985, -122.445839169], [37.776439986, -122.441501167], [37.782889985, -122.442806168], [37.781057985, -122.447593169], [37.781145985, -122.447616169], [37.779368986, -122.440971168]]",Census Tract 157.02,3.80%
414,"[[37.441607977, -122.161700087], [37.441008976, -122.160616087], [37.443774978, -122.145783085], [37.442457979, -122.143698085], [37.439912977, -122.151011085], [37.441329978, -122.146047084], [37.440264977, -122.149823085], [37.446944978, -122.150812086], [37.442262977, -122.161105087], [37.447954978, -122.155503087]]",Census Tract 5113.01,3.80%
415,"[[37.78823099, -122.393319161], [37.78824099, -122.388688161], [37.78803999, -122.387736161], [37.78826499, -122.387751161], [37.78717999, -122.38768316], [37.78855299, -122.388168161], [37.78657099, -122.390080161], [37.78675799, -122.390313161], [37.788691989, -122.392736161], [37.78676999, -122.392066161]]",Census Tract 615.06,3.90%
416,"[[37.660145976, -122.427882153], [37.659010977, -122.422739151], [37.667834978, -122.423761152], [37.658197977, -122.41161515], [37.667199977, -122.427462153], [37.663602977, -122.41181415], [37.662426978, -122.41024815], [37.659722978, -122.41108515], [37.667957978, -122.424847153], [37.660503977, -122.429507153]]",Census Tract 6020.01,3.90%
417,"[[37.677231025, -121.769506054], [37.675307024, -121.785745055], [37.677897024, -121.789166056], [37.672987025, -121.768679052], [37.678396024, -121.787640056], [37.659130024, -121.768739051], [37.668302024, -121.768096052], [37.667621023, -121.780428054], [37.670972025, -121.768109052], [37.670962025, -121.768109052]]",Census Tract 4516.02,3.90%
418,"[[37.544025996, -122.024823078], [37.541445995, -122.032643079], [37.550284996, -122.025711078], [37.543956995, -122.024878078], [37.543297995, -122.035768079], [37.562457996, -122.039250082], [37.563271996, -122.038369082], [37.552359994, -122.051168082], [37.557722996, -122.03243008], [37.561934996, -122.036947081]]",Census Tract 4441,3.90%
419,"[[37.764214979, -122.506103176], [37.76434898, -122.502992175], [37.76430098, -122.504171176], [37.763973979, -122.509846177], [37.76057198, -122.502726175], [37.758418979, -122.509124176], [37.76425998, -122.505142176], [37.758470979, -122.507949176], [37.76429898, -122.504068176], [37.758517979, -122.506881175]]",Census Tract 352.02,3.90%
420,"[[37.971162994, -122.548732206], [37.957748992, -122.554608206], [37.955680991, -122.564883207], [37.959059992, -122.553225206], [37.964975993, -122.542897204], [37.969655993, -122.560629208], [37.972634993, -122.551976207], [37.966558991, -122.580612211], [37.957525992, -122.556060206], [37.965731993, -122.544143205]]",Census Tract 1181,3.90%
421,"[[37.264137981, -121.876162024], [37.266028981, -121.877283023], [37.275615983, -121.877369025], [37.274869983, -121.880252026], [37.25968398, -121.889206025], [37.261247981, -121.883276025], [37.261385981, -121.882730025], [37.269356982, -121.878099024], [37.264311981, -121.876275024], [37.270800981, -121.894973027]]",Census Tract 5030.03,3.90%
422,"[[37.230612971, -121.983443037], [37.240204973, -121.970593036], [37.240019972, -121.984571037], [37.239306973, -121.970818035], [37.240517972, -121.982189037], [37.227606971, -121.978442035], [37.242380973, -121.969268036], [37.227864971, -121.979143035], [37.226615971, -121.974937035], [37.236584972, -121.984143037]]",Census Tract 5071,3.90%
423,"[[37.656625024, -121.76694205], [37.678585025, -121.770158053], [37.681194025, -121.771334054], [37.674324026, -121.756485051], [37.685419027, -121.764536054], [37.683151025, -121.772197054], [37.681966026, -121.763667053], [37.682543025, -121.771960054], [37.684241026, -121.765076053], [37.674081025, -121.768670053]]",Census Tract 4516.01,3.90%
424,"[[37.464377979, -122.147833088], [37.466229979, -122.150967088], [37.457837979, -122.152908088], [37.457133979, -122.150171087], [37.458266979, -122.144557087], [37.45903098, -122.140899086], [37.457685979, -122.152556088], [37.46147598, -122.152039088], [37.46590098, -122.150419088], [37.46026998, -122.140797086]]",Census Tract 6121.01,3.90%
425,"[[37.743495981, -122.466872167], [37.74314898, -122.473566168], [37.748940981, -122.468573168], [37.747154981, -122.459360167], [37.749003981, -122.468039168], [37.74310198, -122.474637168], [37.74338898, -122.468086167], [37.747609982, -122.458725167], [37.747049981, -122.459495167], [37.747773981, -122.458648167]]",Census Tract 304,3.90%
426,"[[37.679112998, -122.158433113], [37.697437997, -122.182449119], [37.703194999, -122.167211118], [37.700979998, -122.174062118], [37.671164997, -122.155045112], [37.686781998, -122.161131114], [37.703083999, -122.169035117], [37.700173998, -122.165724117], [37.671350997, -122.154719112], [37.696515997, -122.18857212]]",Census Tract 4334,3.90%
427,"[[37.412883979, -122.099049074], [37.408831979, -122.094054073], [37.411424979, -122.092543073], [37.415590979, -122.102171075], [37.403020978, -122.097461073], [37.411864979, -122.097193073], [37.415658978, -122.102301075], [37.415181979, -122.101290074], [37.412572979, -122.098645074], [37.408205977, -122.108202075]]",Census Tract 5093.02,3.90%
428,"[[37.521754973, -122.313166119], [37.524976974, -122.31150212], [37.529766973, -122.31506012], [37.521169972, -122.32158212], [37.518548972, -122.32521012], [37.518425972, -122.330146121], [37.517127971, -122.32552512], [37.515629971, -122.328966121], [37.529903973, -122.317988121], [37.521566973, -122.313298119]]",Census Tract 6070,4.00%
429,"[[37.278020983, -121.875475025], [37.283356984, -121.873694025], [37.278525983, -121.877274025], [37.288586983, -121.881559027], [37.287525983, -121.876524026], [37.288505984, -121.882004027], [37.278178983, -121.872686025], [37.285594983, -121.883230027], [37.281338983, -121.872574025], [37.277996983, -121.874399024]]",Census Tract 5031.25,4.00%
430,"[[38.345622069, -121.95126316], [38.34336307, -121.938141157], [38.345155069, -121.950652159], [38.335377069, -121.941335157], [38.335361069, -121.943915157], [38.345008069, -121.947635159], [38.346230069, -121.95216016], [38.335572069, -121.939609157], [38.34309907, -121.935463157], [38.34324907, -121.937541156]]",Census Tract 2529.10,4.00%
431,"[[38.273438011, -122.649093257], [38.269581011, -122.643459256], [38.26645501, -122.657138258], [38.288643013, -122.644218258], [38.297199012, -122.659470262], [38.26925901, -122.666575259], [38.295734012, -122.666502262], [38.256912012, -122.61901525], [38.289780013, -122.646232259], [38.259551012, -122.616708251]]",Census Tract 1506.07,4.00%
432,"[[37.251539973, -121.980514038], [37.251449974, -121.973832037], [37.264148974, -121.991560041], [37.264973974, -121.98165804], [37.250144973, -121.984843039], [37.259017975, -121.966333037], [37.264783974, -121.98124304], [37.253490974, -121.967206036], [37.261721974, -121.973486038], [37.250187973, -121.986705039]]",Census Tract 5072.05,4.00%
433,"[[37.279358979, -121.933666034], [37.29018298, -121.936378035], [37.276043978, -121.942914036], [37.270279977, -121.946026035], [37.272290977, -121.946930035], [37.275273978, -121.946211036], [37.272860977, -121.946785035], [37.29021498, -121.931783035], [37.277407978, -121.945699035], [37.270247977, -121.946563035]]",Census Tract 5026.04,4.00%
434,"[[37.531189977, -122.267754113], [37.517786977, -122.251108109], [37.533907977, -122.263850113], [37.527726977, -122.268004113], [37.540240979, -122.259798113], [37.533956979, -122.24278711], [37.536856979, -122.246608111], [37.537805978, -122.260741113], [37.515876977, -122.25526511], [37.534392978, -122.265012113]]",Census Tract 6103.04,4.00%
435,"[[37.435123969, -122.259309101], [37.45327297, -122.267273104], [37.454128972, -122.245236102], [37.447770971, -122.258817103], [37.45722897, -122.275207106], [37.439442969, -122.263950102], [37.437083972, -122.230242097], [37.439067972, -122.231364098], [37.444675969, -122.269500104], [37.45723997, -122.279890107]]",Census Tract 6133,4.00%
436,"[[37.430642994, -121.908595047], [37.413016993, -121.892571042], [37.410178993, -121.894102043], [37.422947993, -121.906895045], [37.424566993, -121.907283046], [37.431858994, -121.903099047], [37.424013993, -121.907157046], [37.430324994, -121.909021047], [37.411420993, -121.896733043], [37.431683994, -121.906204047]]",Census Tract 5045.10,4.00%
437,"[[38.026336997, -122.556437214], [38.021800999, -122.540454211], [38.027360995, -122.587065219], [38.005859996, -122.562275212], [38.007071998, -122.54256521], [38.006288996, -122.562317212], [38.006011995, -122.562193212], [38.026803998, -122.549750213], [38.009675997, -122.551407211], [38.021340998, -122.539425211]]",Census Tract 1081,4.00%
438,"[[37.524738993, -122.031740077], [37.533930992, -122.064437083], [37.530301992, -122.04857508], [37.529844992, -122.04916908], [37.529810991, -122.063665082], [37.524389993, -122.030984076], [37.528174991, -122.05588608], [37.481876991, -122.015269069], [37.529382991, -122.063340082], [37.50567099, -122.054534077]]",Census Tract 4443.04,4.00%
439,"[[37.568827977, -122.314121124], [37.567654976, -122.323220126], [37.574009977, -122.317555125], [37.567595977, -122.323308126], [37.569461977, -122.313207124], [37.574826977, -122.318683126], [37.573017977, -122.321305126], [37.568663976, -122.321762126], [37.566977976, -122.319905125], [37.567285977, -122.320241125]]",Census Tract 6062.02,4.00%
440,"[[37.310595975, -122.025713052], [37.315817975, -122.032360053], [37.312244975, -122.032252053], [37.311945975, -122.030350052], [37.321728976, -122.023182053], [37.311524975, -122.028893052], [37.316302976, -122.023181052], [37.312284976, -122.023153051], [37.321744976, -122.023183053], [37.312044975, -122.030673053]]",Census Tract 5080.05,4.00%
441,"[[38.247011013, -122.592662246], [38.233980011, -122.600843245], [38.240630013, -122.588231244], [38.234661012, -122.593420244], [38.234020012, -122.589080243], [38.248359013, -122.591423245], [38.243556012, -122.595630246], [38.255065014, -122.584535245], [38.254579014, -122.583678245], [38.233317012, -122.587902243]]",Census Tract 1506.11,4.00%
442,"[[38.358299066, -122.01145517], [38.369266068, -121.992908168], [38.360605065, -122.021216171], [38.368978067, -121.99912517], [38.372580066, -122.024791174], [38.370758066, -122.024105173], [38.358337066, -122.01134517], [38.380116068, -122.016194174], [38.366285067, -122.00469217], [38.372249068, -121.994214169]]",Census Tract 2532.01,4.00%
443,"[[37.752895984, -122.434253164], [37.753440984, -122.425253163], [37.751575984, -122.429672163], [37.751308984, -122.434103163], [37.751842984, -122.425239162], [37.753694984, -122.434330164], [37.751441984, -122.431890163], [37.756231985, -122.432344164], [37.751709985, -122.427450162], [37.756097984, -122.434559164]]",Census Tract 211,4.00%
444,"[[37.655107972, -122.47912816], [37.639515972, -122.470044156], [37.638702972, -122.464484155], [37.647068971, -122.484818159], [37.659362973, -122.47831416], [37.648779971, -122.484132159], [37.656980972, -122.478983159], [37.658856973, -122.478656159], [37.648487972, -122.481864159], [37.653711972, -122.481387159]]",Census Tract 6027,4.00%
445,"[[38.420054006, -122.874948309], [38.425912009, -122.844468305], [38.431051006, -122.881681312], [38.449896009, -122.861423311], [38.427603009, -122.841412304], [38.432794007, -122.881912311], [38.451355011, -122.842179307], [38.43421401, -122.835890305], [38.45081501, -122.85461831], [38.442937008, -122.884783313]]",Census Tract 1536.01,4.00%
446,"[[37.424903979, -122.101312076], [37.41277898, -122.086772072], [37.411635979, -122.094076074], [37.42056598, -122.092095074], [37.411684979, -122.096253073], [37.411563979, -122.086827072], [37.412883979, -122.099049074], [37.417209979, -122.102910075], [37.41707298, -122.087262073], [37.42272498, -122.101463076]]",Census Tract 5093.04,4.00%
447,"[[37.510699996, -121.971764066], [37.51302099, -122.06453208], [37.464491994, -121.946180057], [37.509695997, -121.962038064], [37.464350994, -121.940528056], [37.53285699, -122.085930086], [37.460275994, -121.933591054], [37.461425994, -121.935309054], [37.493710986, -122.104008084], [37.535554991, -122.074278084]]",Census Tract 4415.03,4.10%
448,"[[37.465473989, -122.027788069], [37.455025994, -121.926584052], [37.455250995, -121.926873052], [37.456923995, -121.932669053], [37.450923995, -121.922155051], [37.417667988, -121.973330055], [37.454421994, -121.925725052], [37.423450992, -121.923356048], [37.410954986, -121.991113058], [37.431158993, -121.918465048]]",Census Tract 5046.02,4.10%
449,,Census Tract 1542.02,4.10%
450,"[[37.753367004, -122.150525121], [37.757918006, -122.138606119], [37.731817004, -122.121219114], [37.733592004, -122.131238115], [37.757343006, -122.134880119], [37.755959006, -122.129305117], [37.748686006, -122.115496114], [37.729800004, -122.122226114], [37.747729006, -122.121552116], [37.733468004, -122.130440116]]",Census Tract 4100,4.10%
451,"[[37.391474973, -122.15064308], [37.381318974, -122.124239074], [37.377128974, -122.120091074], [37.397124975, -122.127695077], [37.385457975, -122.123733075], [37.373417974, -122.119040073], [37.396615975, -122.128087077], [37.395708975, -122.129510077], [37.379308974, -122.121660074], [37.399974975, -122.131703078]]",Census Tract 5117.01,4.10%
452,"[[37.329351974, -122.059667059], [37.324554973, -122.074413061], [37.331507975, -122.061449059], [37.325057974, -122.061487059], [37.328415974, -122.060264059], [37.333574974, -122.06859306], [37.322993972, -122.076880061], [37.322059972, -122.076848061], [37.332839974, -122.06356406], [37.321924973, -122.07371306]]",Census Tract 5077.04,4.10%
453,"[[37.901536009, -122.261990155], [37.903798009, -122.270533157], [37.904401009, -122.270167156], [37.894191008, -122.268586155], [37.901775009, -122.262436155], [37.904328009, -122.270306156], [37.899949008, -122.261109155], [37.904430008, -122.270024156], [37.901135009, -122.261261154], [37.904468009, -122.266967156]]",Census Tract 4211,4.10%
454,"[[38.272994054, -122.069413169], [38.294541057, -122.05954117], [38.271376054, -122.07468617], [38.30976906, -122.035182168], [38.291188059, -122.034605166], [38.31408106, -122.038869169], [38.292558057, -122.06027917], [38.274605056, -122.059341168], [38.284271055, -122.06606717], [38.290314056, -122.06161017]]",Census Tract 2523.11,4.10%
455,"[[37.898168005, -122.305420161], [37.895702006, -122.30244716], [37.897150005, -122.308597161], [37.892000005, -122.30670616], [37.892403005, -122.30663716], [37.889909005, -122.30442516], [37.889722004, -122.30607116], [37.896834005, -122.308489161], [37.898016006, -122.306765161], [37.890358005, -122.30628316]]",Census Tract 4203.01,4.10%
456,"[[37.277235986, -121.84145902], [37.290971984, -121.871374026], [37.280455984, -121.861063023], [37.287150986, -121.846428022], [37.278292986, -121.83985902], [37.282352986, -121.83991302], [37.280586985, -121.849712021], [37.280061985, -121.845517021], [37.280230984, -121.858307023], [37.277229985, -121.84219202]]",Census Tract 5031.27,4.10%
457,"[[37.975308025, -122.127085142], [37.960072026, -122.093912136], [37.957849025, -122.109202138], [37.962408025, -122.114012139], [37.991129026, -122.128060144], [37.976664026, -122.11052314], [37.982098027, -122.115480141], [37.956276025, -122.105996137], [37.987755027, -122.121768143], [37.959951026, -122.092359136]]",Census Tract 3211.03,4.10%
458,"[[38.073199028, -122.197180164], [38.076513027, -122.209994167], [38.083825028, -122.212180168], [38.070949027, -122.210044167], [38.057077026, -122.197136163], [38.075222028, -122.197660165], [38.071058028, -122.195882165], [38.062684026, -122.213561166], [38.080499029, -122.193013165], [38.085402028, -122.210416169]]",Census Tract 2506.05,4.10%
459,"[[37.911328009, -122.279994159], [37.905374009, -122.272495157], [37.915847009, -122.279031159], [37.911239009, -122.274061157], [37.916989008, -122.28365116], [37.905594008, -122.278810158], [37.904425009, -122.269831157], [37.903342007, -122.277979157], [37.916346009, -122.28120916], [37.916225009, -122.28332116]]",Census Tract 3920,4.10%
460,"[[37.92600199, -122.546937201], [37.92069299, -122.537005199], [37.904049989, -122.541615197], [37.892445989, -122.532584195], [37.907418989, -122.544102198], [37.924758991, -122.544979201], [37.897435989, -122.538339197], [37.90723699, -122.528952196], [37.918304989, -122.553754201], [37.899987989, -122.528865195]]",Census Tract 1261,4.10%
461,"[[37.540617976, -122.284643117], [37.540317977, -122.284200117], [37.533791976, -122.284373116], [37.543167976, -122.289980118], [37.542939976, -122.290176118], [37.533858977, -122.278892115], [37.533265975, -122.289299116], [37.533790975, -122.293801117], [37.540061976, -122.295490119], [37.535503975, -122.295782118]]",Census Tract 6085.01,4.10%
462,"[[37.547357965, -122.448278143], [37.538215962, -122.484672147], [37.525548959, -122.501928148], [37.524943964, -122.44794814], [37.551708964, -122.472016146], [37.550870965, -122.450382143], [37.53024996, -122.494554148], [37.551651965, -122.456245144], [37.531330963, -122.452096141], [37.507078959, -122.487717144]]",Census Tract 6135.02,4.20%
463,"[[37.783647026, -121.895659085], [37.799300027, -121.883247084], [37.797751025, -121.912502089], [37.798262028, -121.883114085], [37.796388027, -121.885446084], [37.798915027, -121.885580085], [37.788122026, -121.892746085], [37.788676025, -121.907243088], [37.782878025, -121.896898084], [37.799108026, -121.907655089]]",Census Tract 3551.22,4.20%
464,"[[38.085119004, -122.537740218], [38.094296008, -122.494118212], [38.085785007, -122.505275213], [38.080614003, -122.545629219], [38.077375003, -122.543292218], [38.079231003, -122.545236219], [38.087849007, -122.503958213], [38.084011004, -122.539542218], [38.085481004, -122.537264218], [38.071025006, -122.49670021]]",Census Tract 1043,4.20%
465,"[[37.865563019, -122.080171123], [37.860650019, -122.076841121], [37.853854019, -122.058799118], [37.85996502, -122.06905312], [37.852680019, -122.056292117], [37.865240019, -122.081346123], [37.865365019, -122.080430122], [37.85616002, -122.064443119], [37.861182019, -122.074977121], [37.853985019, -122.059905118]]",Census Tract 3511.01,4.20%
466,"[[37.339793993, -121.811309022], [37.338715992, -121.814682023], [37.334445992, -121.815069022], [37.324038992, -121.80777202], [37.332462992, -121.813655021], [37.326657993, -121.797549018], [37.331164992, -121.812712021], [37.333560993, -121.799921019], [37.334104993, -121.80009602], [37.330597992, -121.812325021]]",Census Tract 5033.21,4.20%
467,,Census Tract 1526.02,4.20%
468,"[[37.760222982, -122.468204169], [37.765783983, -122.47074317], [37.765923983, -122.46753617], [37.760128982, -122.47034817], [37.760175982, -122.46927617], [37.765981983, -122.46632817], [37.762031982, -122.47048117], [37.766016982, -122.46551117], [37.761896982, -122.47047117], [37.765970982, -122.46657417]]",Census Tract 302.02,4.20%
469,"[[37.538667998, -121.97921607], [37.537503998, -121.97647207], [37.544384999, -121.981086071], [37.544516999, -121.980575071], [37.538557998, -121.97949207], [37.543435998, -121.97847307], [37.541662998, -121.983154071], [37.537866999, -121.977015069], [37.542888999, -121.97740107], [37.541987999, -121.97565507]]",Census Tract 4419.26,4.20%
470,"[[37.901907987, -122.564880201], [37.903300988, -122.541392197], [37.923570989, -122.561995203], [37.924332989, -122.563383203], [37.925359989, -122.562733203], [37.920469988, -122.567006203], [37.923227988, -122.564006203], [37.920503989, -122.566816203], [37.896995988, -122.540224196], [37.923322989, -122.563723203]]",Census Tract 1270,4.20%
471,"[[37.551979, -121.97186107], [37.552473, -121.971463071], [37.552517002, -121.955124068], [37.552917, -121.97090407], [37.550245999, -121.97247107], [37.544797, -121.964836068], [37.556748001, -121.96892307], [37.543896, -121.963362068], [37.561355002, -121.957678069], [37.549735, -121.97242207]]",Census Tract 4419.28,4.20%
472,"[[37.726632018, -121.926739083], [37.701900018, -121.899561076], [37.721404018, -121.926538083], [37.708852018, -121.908086078], [37.705869016, -121.92386708], [37.701876018, -121.904359077], [37.713171018, -121.91335108], [37.701869018, -121.903258076], [37.705917018, -121.904033077], [37.722089018, -121.926663083]]",Census Tract 4503,4.20%
473,"[[37.470828972, -122.259490105], [37.470346972, -122.259506105], [37.468793973, -122.258682105], [37.465351972, -122.249889103], [37.467081972, -122.261517105], [37.465737973, -122.251114104], [37.469179972, -122.258567105], [37.464812973, -122.254780104], [37.473703973, -122.250779104], [37.472643973, -122.250494104]]",Census Tract 6098,4.20%
474,,Census Tract 3470,4.20%
475,"[[37.810039004, -122.217260137], [37.807080003, -122.23652714], [37.810794004, -122.222842138], [37.804825002, -122.234054139], [37.812847004, -122.221584139], [37.807964002, -122.24048014], [37.808316002, -122.24132014], [37.809593005, -122.217633137], [37.807173003, -122.23531714], [37.807831003, -122.228840139]]",Census Tract 4050,4.20%
476,"[[37.429662996, -121.872572041], [37.429045997, -121.86329704], [37.424554996, -121.86980204], [37.428915996, -121.875954041], [37.428367996, -121.878433042], [37.423988996, -121.878224042], [37.424247996, -121.86961604], [37.425080996, -121.871237041], [37.424403996, -121.86970104], [37.424407997, -121.862238039]]",Census Tract 5044.15,4.20%
477,"[[38.003341013, -122.314752175], [37.999847012, -122.322239175], [38.002005013, -122.317648175], [37.999383013, -122.323015176], [38.004774014, -122.314399175], [38.001932013, -122.317813175], [38.004231014, -122.312495174], [38.005222014, -122.312573174], [37.992937011, -122.330308176], [38.000799013, -122.320358175]]",Census Tract 3922.02,4.20%
478,"[[37.544117973, -122.332539125], [37.538390974, -122.312451121], [37.542980974, -122.331603125], [37.544663975, -122.319673122], [37.547423974, -122.329853125], [37.544211975, -122.319096123], [37.535522974, -122.317961122], [37.539786975, -122.313629121], [37.532955973, -122.324956122], [37.547512974, -122.329746124]]",Census Tract 6067,4.20%
479,"[[37.811357022, -121.978973101], [37.812225022, -121.9761251], [37.831184023, -121.989196105], [37.823914022, -121.987375104], [37.811362021, -121.981410101], [37.831711022, -121.997554106], [37.813601022, -121.9731031], [37.817790023, -121.9712731], [37.820356022, -121.981008102], [37.825939022, -121.995426105]]",Census Tract 3462.03,4.20%
480,,Census Tract 5117.07,4.20%
481,"[[37.352024978, -122.033357058], [37.352621977, -122.05056306], [37.352084978, -122.036553058], [37.352074978, -122.041983059], [37.357707979, -122.032423058], [37.352066978, -122.042613059], [37.352061977, -122.042918059], [37.358034978, -122.05020306], [37.357384977, -122.050233061], [37.352094978, -122.037749058]]",Census Tract 5084.03,4.30%
482,"[[37.953151993, -122.538113202], [37.958040994, -122.535048203], [37.957508994, -122.535463202], [37.955680995, -122.5242842], [37.952882993, -122.538048203], [37.957723994, -122.526652202], [37.953306993, -122.538022203], [37.956709994, -122.525835201], [37.951531993, -122.535951202], [37.951801995, -122.509648198]]",Census Tract 1192.02,4.30%
483,"[[37.451419974, -122.219065097], [37.459896974, -122.219874098], [37.442818972, -122.227849097], [37.448247973, -122.221583097], [37.444635973, -122.225926097], [37.452947974, -122.217853097], [37.463098974, -122.218757098], [37.442577972, -122.230494098], [37.444045973, -122.224920097], [37.444427972, -122.225633097]]",Census Tract 6113,4.30%
484,"[[37.828482003, -122.249142144], [37.833080004, -122.246977144], [37.827179003, -122.247864144], [37.828472003, -122.256164145], [37.826509004, -122.247612144], [37.830056004, -122.243521144], [37.832970004, -122.249976145], [37.826489004, -122.247617144], [37.832776004, -122.249860145], [37.830178003, -122.255147145]]",Census Tract 4041.01,4.30%
485,"[[37.941561007, -122.324134169], [37.935142006, -122.33676317], [37.949127008, -122.328973171], [37.947367008, -122.330805171], [37.943654008, -122.333831171], [37.933711007, -122.333330169], [37.943998008, -122.324040169], [37.938448007, -122.33601617], [37.933177006, -122.329914169], [37.941759006, -122.335211171]]",Census Tract 3710,4.30%
486,,Census Tract 1503.03,4.30%
487,"[[38.548298022, -122.809426315], [38.548570022, -122.807111314], [38.561743023, -122.807431316], [38.548075021, -122.809220315], [38.547605021, -122.806470315], [38.549067021, -122.807348315], [38.547525021, -122.806528315], [38.561801021, -122.821676318], [38.559449022, -122.807359316], [38.550045021, -122.807426315]]",Census Tract 1538.04,4.30%
488,"[[37.323463992, -121.796475018], [37.319793992, -121.795168017], [37.319878992, -121.795218017], [37.322499992, -121.796221017], [37.324685992, -121.804975019], [37.313527992, -121.794588017], [37.324330992, -121.806476019], [37.325210993, -121.798366018], [37.321256992, -121.795742017], [37.311905991, -121.805255018]]",Census Tract 5033.15,4.30%
489,"[[37.386314982, -122.015703058], [37.383789981, -122.032294061], [37.381793982, -122.021111059], [37.385116982, -122.017201058], [37.375274981, -122.020483058], [37.379344981, -122.032993061], [37.383504981, -122.02894306], [37.380634982, -122.018693059], [37.383663982, -122.013969058], [37.37954498, -122.03354306]]",Census Tract 5087.07,4.30%
490,"[[37.968904054, -121.721021079], [37.954273055, -121.696784073], [37.959598055, -121.696106074], [37.954150053, -121.716466077], [37.968861054, -121.72532308], [37.955607054, -121.696162073], [37.961561055, -121.696110075], [37.968791053, -121.72547808], [37.954379054, -121.698071074], [37.971342056, -121.703245076]]",Census Tract 3031.04,4.30%
491,"[[37.398716983, -122.027242062], [37.393834982, -122.029363062], [37.392034982, -122.029943061], [37.389594982, -122.01998306], [37.391542981, -122.030112061], [37.391261983, -122.01941306], [37.388264982, -122.02608306], [37.388633982, -122.02721006], [37.389770982, -122.02072506], [37.395784982, -122.028743062]]",Census Tract 5090.01,4.30%
492,"[[37.404704979, -122.096483073], [37.410214979, -122.093253073], [37.410124979, -122.088743072], [37.40971598, -122.087542072], [37.400678978, -122.091300071], [37.411184979, -122.092703073], [37.407624978, -122.094763073], [37.403008979, -122.090337072], [37.405490979, -122.089256072], [37.410040979, -122.088503072]]",Census Tract 5093.03,4.30%
493,"[[37.592979967, -122.479082152], [37.599026967, -122.482403153], [37.581181966, -122.475936151], [37.580071966, -122.47657115], [37.589988967, -122.479629152], [37.592261967, -122.480663152], [37.590168967, -122.479784152], [37.595577967, -122.481795153], [37.578350966, -122.47195715], [37.566348966, -122.462604147]]",Census Tract 6034,4.30%
494,"[[37.780995983, -122.466568172], [37.781053984, -122.465252172], [37.787236984, -122.472247173], [37.780766984, -122.471794173], [37.786972984, -122.472449173], [37.780876983, -122.472270172], [37.780944984, -122.467623172], [37.786321984, -122.472596173], [37.786511984, -122.472561173], [37.784796984, -122.464564172]]",Census Tract 402,4.30%
